City,Date,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,Wind Speed,AQI_Category
Bangkok,2023-02-19,55.16,100.32,82.7,17.64,6.98,86.48,28.18,56.39,15.94,Good
Bangkok,2023-02-20,111.56,124.9,73.13,34.33,3.61,92.32,16.3,44.58,10.11,Unhealthy
Bangkok,2023-02-21,71.76,106.65,75.39,19.2,4.76,55.6,20.59,64.94,18.55,Moderate
Bangkok,2023-02-22,20.68,39.32,58.18,14.4,6.88,173.78,3.57,73.03,6.02,Good
Bangkok,2023-02-23,60.82,46.51,46.01,14.93,5.99,119.33,8.91,77.15,4.65,Good
Bangkok,2023-02-24,100.96,53.7,33.84,15.45,5.09,64.87,14.26,81.27,3.28,Unhealthy
Bangkok,2023-02-25,141.1,60.89,21.67,15.98,4.2,10.42,19.6,85.39,1.9,Unhealthy
Bangkok,2023-02-26,132.03,78.33,31.56,22.1,4.97,49.82,17.54,83.12,5.32,Unhealthy
Bangkok,2023-02-27,122.96,95.76,41.46,28.23,5.74,89.23,15.48,80.85,8.74,Unhealthy
Bangkok,2023-02-28,113.89,113.2,51.35,34.35,6.5,128.64,13.42,78.57,12.16,Unhealthy
Bangkok,2023-03-01,49.37,187.17,24.86,30.59,0.79,77.01,17.07,17.19,1.37,Good
Bangkok,2023-03-02,88.53,18.15,13.57,16.98,7.67,148.0,12.5,89.2,3.08,Moderate
Bangkok,2023-03-03,61.09,22.33,28.7,37.58,3.57,122.31,19.23,38.11,12.03,Good
Bangkok,2023-03-04,28.14,156.3,47.94,5.88,0.97,157.86,0.71,54.28,18.75,Good
Bangkok,2023-03-05,97.64,193.29,18.69,35.06,9.8,19.81,-1.6,90.02,15.22,Moderate
Bangkok,2023-03-06,38.86,76.21,78.56,38.35,7.69,113.76,9.31,47.27,2.88,Good
Bangkok,2023-03-07,69.08,97.0,75.06,30.2,5.75,125.82,17.41,48.89,7.9,Moderate
Bangkok,2023-03-08,99.29,117.79,71.56,22.06,3.81,137.87,25.51,50.52,12.93,Unhealthy
Bangkok,2023-03-09,106.26,44.68,42.92,36.27,5.63,70.64,0.26,60.18,5.78,Unhealthy
Bangkok,2023-03-10,123.34,66.07,97.71,42.29,5.26,35.89,11.11,39.2,5.23,Unhealthy
Bangkok,2023-03-11,103.73,106.65,74.56,34.28,4.65,55.86,13.22,42.72,6.25,Unhealthy
Bangkok,2023-03-12,84.12,147.22,51.42,26.28,4.04,75.82,15.32,46.24,7.26,Moderate
Bangkok,2023-03-13,146.7,19.19,49.25,49.01,8.91,107.53,2.24,73.29,3.29,Unhealthy
Bangkok,2023-03-14,131.89,164.88,18.49,6.48,7.27,34.4,12.98,12.93,18.01,Unhealthy
Bangkok,2023-03-15,88.56,132.38,30.38,10.87,5.51,23.03,4.93,49.83,10.55,Moderate
Bangkok,2023-03-16,45.22,99.87,42.27,15.26,3.75,11.66,-3.12,86.73,3.08,Good
Bangkok,2023-03-17,76.21,115.68,33.8,30.49,3.72,73.69,-5.0,87.84,7.86,Moderate
Bangkok,2023-03-18,107.2,131.48,25.33,45.72,3.68,135.72,-6.89,88.94,12.64,Unhealthy
Bangkok,2023-03-19,70.32,94.84,94.82,16.11,5.98,23.56,11.06,50.92,10.56,Moderate
Bangkok,2023-03-20,90.92,80.55,70.67,14.3,5.86,41.4,17.75,59.01,9.68,Moderate
Bangkok,2023-03-21,111.52,66.25,46.53,12.5,5.74,59.24,24.44,67.1,8.8,Unhealthy
Bangkok,2023-03-22,76.63,62.15,43.85,24.11,3.74,103.96,29.39,46.96,13.19,Moderate
Bangkok,2023-03-23,41.75,58.05,41.17,35.72,1.74,148.68,34.34,26.82,17.57,Good
Bangkok,2023-03-24,58.56,94.74,62.51,34.26,4.35,130.88,26.67,30.8,14.48,Good
Bangkok,2023-03-25,75.36,131.43,83.86,32.8,6.96,113.09,19.0,34.78,11.39,Moderate
Bangkok,2023-03-26,113.32,122.42,47.26,8.08,7.54,95.98,19.35,76.56,13.31,Unhealthy
Bangkok,2023-03-27,125.02,86.62,44.39,30.1,2.31,28.96,4.88,66.57,11.92,Unhealthy
Bangkok,2023-03-28,46.18,115.97,7.16,41.11,4.39,54.55,19.12,58.59,18.79,Good
Bangkok,2023-03-29,44.99,104.21,9.0,35.74,4.71,47.74,23.03,64.1,17.32,Good
Bangkok,2023-03-30,43.8,92.44,10.84,30.38,5.03,40.93,26.94,69.62,15.86,Good
Bangkok,2023-03-31,42.62,80.68,12.68,25.02,5.34,34.12,30.84,75.14,14.4,Good
Bangkok,2023-04-01,41.43,68.92,14.52,19.65,5.66,27.31,34.75,80.65,12.93,Good
Bangkok,2023-04-02,126.12,101.34,63.2,11.92,5.72,114.16,11.15,59.92,9.46,Unhealthy
Bangkok,2023-04-03,70.64,102.34,59.75,34.0,3.36,65.85,11.78,62.1,7.44,Moderate
Bangkok,2023-04-04,98.21,86.39,39.28,18.27,1.81,79.26,4.08,60.95,16.66,Moderate
Bangkok,2023-04-05,45.52,114.51,46.48,32.08,8.02,41.62,9.18,20.12,9.29,Good
Bangkok,2023-04-06,91.83,106.44,51.73,39.17,6.91,29.64,1.39,49.23,9.83,Moderate
Bangkok,2023-04-07,138.13,98.36,56.98,46.26,5.81,17.66,-6.39,78.33,10.37,Unhealthy
Bangkok,2023-04-08,31.06,52.18,72.19,41.99,8.6,71.46,12.24,47.26,17.35,Good
Bangkok,2023-04-09,78.62,113.61,74.58,14.95,4.67,108.1,3.21,44.92,7.79,Moderate
Bangkok,2023-04-10,45.68,81.79,44.73,14.76,8.88,153.35,1.0,40.27,15.34,Good
Bangkok,2023-04-11,28.21,110.2,47.09,23.38,2.25,75.04,-6.17,36.8,16.94,Good
Bangkok,2023-04-12,9.56,199.89,18.25,22.45,5.99,43.66,-2.63,40.15,4.31,Good
Bangkok,2023-04-13,65.05,82.3,65.75,6.68,2.62,127.99,37.78,77.77,19.4,Good
Bangkok,2023-04-14,32.16,16.54,45.5,28.18,7.72,92.47,23.66,12.98,8.95,Good
Bangkok,2023-04-15,77.07,163.76,74.96,28.34,7.02,32.99,22.48,55.56,9.4,Moderate
Bangkok,2023-04-16,36.32,114.8,45.72,15.3,5.5,120.36,26.14,55.84,8.3,Good
Bangkok,2023-04-17,138.62,124.59,29.83,42.36,6.21,77.52,1.1,82.78,13.22,Unhealthy
Bangkok,2023-04-18,64.82,85.08,78.06,6.78,5.81,144.62,13.84,87.42,7.94,Good
Bangkok,2023-04-19,69.07,76.96,56.21,9.13,6.2,120.33,12.68,91.45,11.15,Moderate
Bangkok,2023-04-20,73.32,68.85,34.36,11.48,6.58,96.05,11.52,95.49,14.36,Moderate
Bangkok,2023-04-21,77.57,60.73,12.52,13.83,6.97,71.76,10.37,99.52,17.57,Moderate
Bangkok,2023-04-22,26.28,53.43,50.14,49.79,1.29,151.7,-2.23,89.75,13.39,Good
Bangkok,2023-04-23,38.48,160.66,79.13,34.97,1.69,198.82,1.66,62.6,4.51,Good
Bangkok,2023-04-24,35.9,135.48,82.94,23.01,3.85,185.12,18.97,64.59,7.87,Good
Bangkok,2023-04-25,33.32,110.3,86.75,11.06,6.0,171.42,36.28,66.58,11.24,Good
Bangkok,2023-04-26,56.84,106.37,55.16,24.87,5.62,91.05,21.91,47.88,8.69,Good
Bangkok,2023-04-27,80.36,102.43,23.57,38.69,5.24,10.68,7.55,29.17,6.15,Moderate
Bangkok,2023-04-28,36.82,98.8,53.5,34.02,3.82,63.98,6.87,49.36,18.63,Good
Bangkok,2023-04-29,51.27,89.16,50.5,32.86,5.19,62.59,6.34,50.15,14.55,Good
Bangkok,2023-04-30,65.71,79.53,47.51,31.71,6.56,61.2,5.81,50.94,10.48,Good
Bangkok,2023-05-01,80.16,69.89,44.52,30.56,7.92,59.82,5.28,51.74,6.4,Moderate
Bangkok,2023-05-02,71.83,46.05,30.46,35.57,7.51,86.85,2.23,45.99,7.87,Moderate
Bangkok,2023-05-03,63.5,22.21,16.4,40.58,7.1,113.89,-0.82,40.24,9.34,Good
Bangkok,2023-05-04,71.57,55.64,22.66,39.33,2.01,25.69,6.39,25.41,4.85,Moderate
Bangkok,2023-05-05,130.24,79.44,24.94,3.77,7.17,70.59,24.51,91.63,5.21,Unhealthy
Bangkok,2023-05-06,109.77,49.05,55.1,23.39,3.6,183.13,22.44,63.19,3.98,Unhealthy
Bangkok,2023-05-07,70.14,104.58,66.06,27.88,5.47,132.16,22.18,54.57,13.75,Moderate
Bangkok,2023-05-08,66.0,115.52,35.82,29.81,6.6,106.01,19.25,43.54,13.32,Good
Bangkok,2023-05-09,61.86,126.45,5.58,31.74,7.74,79.86,16.33,32.5,12.89,Good
Bangkok,2023-05-10,12.46,34.64,76.96,24.85,8.03,139.04,23.72,38.06,2.51,Good
Bangkok,2023-05-11,33.62,46.32,76.9,18.37,5.76,120.92,21.08,51.16,4.95,Good
Bangkok,2023-05-12,54.78,58.01,76.84,11.89,3.5,102.81,18.43,64.25,7.39,Good
Bangkok,2023-05-13,73.7,58.14,72.03,19.83,3.33,96.49,16.99,65.88,9.97,Moderate
Bangkok,2023-05-14,92.62,58.27,67.22,27.76,3.16,90.18,15.55,67.5,12.56,Moderate
Bangkok,2023-05-15,111.54,58.4,62.41,35.7,2.99,83.86,14.11,69.13,15.14,Unhealthy
Bangkok,2023-05-16,130.46,58.53,57.6,43.64,2.82,77.54,12.67,70.76,17.72,Unhealthy
Bangkok,2023-05-17,90.3,66.76,63.17,44.48,5.89,93.46,17.55,60.22,17.7,Moderate
Bangkok,2023-05-18,50.14,74.98,68.73,45.33,8.96,109.38,22.42,49.69,17.67,Good
Bangkok,2023-05-19,48.5,80.44,58.81,35.99,7.04,72.55,15.76,50.62,10.96,Good
Bangkok,2023-05-20,46.87,85.91,48.88,26.65,5.12,35.72,9.1,51.56,4.25,Good
Bangkok,2023-05-21,104.45,104.86,54.98,23.01,7.1,87.55,33.23,22.39,13.99,Unhealthy
Bangkok,2023-05-22,71.49,122.1,53.83,34.45,4.69,86.46,15.85,41.91,8.56,Moderate
Bangkok,2023-05-23,38.53,139.34,52.69,45.89,2.28,85.38,-1.52,61.43,3.12,Good
Bangkok,2023-05-24,98.94,118.46,83.9,42.64,3.02,72.44,21.81,52.06,9.99,Moderate
Bangkok,2023-05-25,101.39,146.46,16.94,40.77,7.47,51.7,34.02,11.3,5.7,Unhealthy
Bangkok,2023-05-26,61.79,85.85,34.78,36.78,7.99,97.66,9.91,68.41,10.62,Good
Bangkok,2023-05-27,19.65,11.52,72.19,7.43,7.76,148.17,25.93,51.99,15.8,Good
Bangkok,2023-05-28,34.63,32.09,72.49,8.03,7.06,135.6,24.43,56.73,13.29,Good
Bangkok,2023-05-29,49.62,52.66,72.79,8.64,6.36,123.04,22.92,61.46,10.79,Good
Bangkok,2023-05-30,64.6,73.23,73.09,9.24,5.66,110.47,21.42,66.2,8.28,Good
Bangkok,2023-05-31,79.58,93.8,73.38,9.84,4.96,97.9,19.92,70.94,5.78,Moderate
Bangkok,2023-06-01,94.56,114.37,73.68,10.44,4.26,85.34,18.41,75.67,3.27,Moderate
Bangkok,2023-06-02,85.57,157.23,20.54,31.66,5.28,108.78,27.7,50.32,3.26,Moderate
Bangkok,2023-06-03,14.82,133.15,7.85,9.94,1.77,60.25,-0.04,84.72,6.41,Good
Bangkok,2023-06-04,119.03,85.86,36.69,5.21,8.07,145.35,21.01,90.39,14.28,Unhealthy
Bangkok,2023-06-05,70.54,46.21,59.19,18.45,8.48,110.9,13.26,54.07,7.78,Moderate
Bangkok,2023-06-06,93.06,139.36,29.67,24.06,3.08,90.65,25.89,58.4,7.13,Moderate
Bangkok,2023-06-07,103.73,109.74,96.16,19.12,5.56,33.76,33.3,74.25,10.54,Unhealthy
Bangkok,2023-06-08,110.94,87.21,67.38,26.81,3.85,24.08,32.24,85.42,15.11,Unhealthy
Bangkok,2023-06-09,118.16,64.68,38.61,34.5,2.15,14.4,31.18,96.6,19.68,Unhealthy
Bangkok,2023-06-10,110.23,89.93,35.06,30.42,4.24,75.43,16.94,88.6,15.1,Unhealthy
Bangkok,2023-06-11,102.3,115.18,31.52,26.34,6.32,136.46,2.71,80.6,10.51,Unhealthy
Bangkok,2023-06-12,93.82,79.11,93.77,34.67,6.2,142.65,9.78,64.22,16.56,Moderate
Bangkok,2023-06-13,67.94,118.26,50.33,25.45,3.91,60.02,9.81,44.95,3.22,Moderate
Bangkok,2023-06-14,84.46,71.13,44.56,34.97,6.51,38.89,16.58,72.0,9.58,Moderate
Bangkok,2023-06-15,88.3,78.11,35.04,31.41,2.81,81.82,16.44,22.45,10.88,Moderate
Bangkok,2023-06-16,106.08,80.77,65.33,16.37,1.82,92.86,16.15,46.98,11.79,Unhealthy
Bangkok,2023-06-17,123.86,83.43,95.63,1.33,0.83,103.91,15.86,71.51,12.7,Unhealthy
Bangkok,2023-06-18,104.55,78.26,78.14,6.25,2.01,113.13,16.32,74.33,12.44,Unhealthy
Bangkok,2023-06-19,85.24,73.08,60.66,11.16,3.19,122.35,16.78,77.14,12.19,Moderate
Bangkok,2023-06-20,65.94,67.91,43.17,16.08,4.36,131.57,17.24,79.96,11.93,Good
Bangkok,2023-06-21,67.79,116.44,31.41,26.65,3.46,73.79,5.95,77.28,9.85,Moderate
Bangkok,2023-06-22,5.87,77.64,52.75,31.57,1.06,73.65,21.83,36.45,1.26,Good
Bangkok,2023-06-23,61.06,163.19,12.8,9.01,2.33,31.21,-3.12,65.3,5.0,Good
Bangkok,2023-06-24,54.55,54.37,69.49,7.95,4.37,60.33,15.94,48.73,6.18,Good
Bangkok,2023-06-25,90.0,108.68,60.7,40.06,4.32,50.72,22.69,52.87,6.74,Moderate
Bangkok,2023-06-26,140.12,33.97,93.11,46.39,8.85,117.49,-6.55,79.07,6.53,Unhealthy
Bangkok,2023-06-27,60.23,67.22,36.92,28.46,3.76,141.54,18.47,42.3,5.76,Good
Bangkok,2023-06-28,57.34,57.17,43.76,29.74,4.62,122.69,22.43,46.57,6.97,Good
Bangkok,2023-06-29,54.45,47.11,50.61,31.02,5.48,103.85,26.39,50.85,8.18,Good
Bangkok,2023-06-30,51.56,37.05,57.46,32.31,6.34,85.01,30.34,55.13,9.38,Good
Bangkok,2023-07-01,48.66,27.0,64.3,33.59,7.19,66.17,34.3,59.41,10.59,Good
Bangkok,2023-07-02,45.77,16.94,71.15,34.87,8.05,47.33,38.26,63.69,11.8,Good
Bangkok,2023-07-03,45.65,56.46,68.92,31.54,8.32,50.27,28.72,60.1,12.28,Good
Bangkok,2023-07-04,45.53,95.98,66.68,28.21,8.59,53.21,19.19,56.51,12.76,Good
Bangkok,2023-07-05,45.42,135.51,64.45,24.88,8.86,56.15,9.65,52.92,13.24,Good
Bangkok,2023-07-06,27.55,106.66,75.12,29.39,5.49,110.03,11.79,45.85,10.84,Good
Bangkok,2023-07-07,147.56,143.4,97.87,4.56,6.73,28.93,29.69,28.29,10.15,Unhealthy
Bangkok,2023-07-08,41.77,114.65,60.09,22.09,4.79,111.99,3.01,75.59,5.95,Good
Bangkok,2023-07-09,82.82,127.57,66.19,8.91,5.52,156.31,8.78,28.95,4.74,Moderate
Bangkok,2023-07-10,23.99,117.68,69.34,25.14,5.6,77.56,37.61,89.69,3.03,Good
Bangkok,2023-07-11,51.85,94.83,65.6,26.73,5.91,89.99,21.28,64.05,6.15,Good
Bangkok,2023-07-12,79.71,71.97,61.87,28.32,6.22,102.43,4.95,38.42,9.28,Moderate
Bangkok,2023-07-13,75.72,114.64,29.23,35.75,7.49,87.0,15.77,84.04,15.61,Moderate
Bangkok,2023-07-14,38.2,184.95,68.96,34.54,3.94,45.4,26.56,37.85,12.02,Good
Bangkok,2023-07-15,69.37,65.13,42.81,33.26,4.79,71.34,23.86,53.89,9.83,Moderate
Bangkok,2023-07-16,81.54,31.44,53.24,42.67,5.52,124.94,27.55,63.82,10.09,Moderate
Bangkok,2023-07-17,54.47,28.48,52.77,24.38,3.52,93.97,10.59,69.36,14.57,Good
Bangkok,2023-07-18,27.4,25.51,52.3,6.09,1.53,63.0,-6.37,74.9,19.05,Good
Bangkok,2023-07-19,85.38,121.82,27.8,39.67,6.54,93.74,3.26,48.97,4.8,Moderate
Bangkok,2023-07-20,27.03,156.76,52.93,29.91,2.46,100.34,24.76,55.24,12.71,Good
Bangkok,2023-07-21,37.6,153.44,53.75,20.14,3.95,92.77,22.79,61.59,9.71,Good
Bangkok,2023-07-22,48.18,150.12,54.57,10.36,5.44,85.2,20.82,67.93,6.7,Good
Bangkok,2023-07-23,49.1,141.75,50.74,26.91,5.32,123.78,13.19,51.63,7.37,Good
Bangkok,2023-07-24,50.04,133.39,46.9,43.46,5.19,162.37,5.56,35.34,8.04,Good
Bangkok,2023-07-25,69.22,199.42,47.98,37.77,4.24,91.26,6.19,87.54,4.11,Moderate
Bangkok,2023-07-26,117.89,53.15,36.87,32.38,2.25,68.8,6.55,68.69,13.66,Unhealthy
Bangkok,2023-07-27,108.82,116.3,59.22,14.12,6.11,97.8,19.71,84.67,14.47,Unhealthy
Bangkok,2023-07-28,64.63,102.2,95.24,14.24,1.87,151.99,12.88,63.16,19.87,Good
Bangkok,2023-07-29,70.6,101.11,93.22,15.7,3.34,154.35,12.55,62.75,19.45,Moderate
Bangkok,2023-07-30,76.56,100.03,91.2,17.16,4.8,156.72,12.23,62.34,19.03,Moderate
Bangkok,2023-07-31,82.52,98.94,89.18,18.62,6.27,159.08,11.9,61.93,18.61,Moderate
Bangkok,2023-08-01,88.49,97.86,87.16,20.08,7.74,161.44,11.58,61.52,18.19,Moderate
Bangkok,2023-08-02,92.03,112.11,60.16,30.93,4.39,99.81,24.61,36.34,14.94,Moderate
Bangkok,2023-08-03,55.48,189.7,24.74,4.36,4.55,120.91,24.16,30.69,10.03,Good
Bangkok,2023-08-04,145.71,118.2,56.42,32.79,5.7,30.84,28.55,64.64,17.82,Unhealthy
Bangkok,2023-08-05,143.76,92.82,59.57,18.92,6.01,22.79,18.52,79.4,18.01,Unhealthy
Bangkok,2023-08-06,141.82,67.43,62.71,5.05,6.33,14.75,8.49,94.15,18.2,Unhealthy
Bangkok,2023-08-07,115.66,56.25,55.72,15.08,5.71,62.26,18.87,82.79,17.45,Unhealthy
Bangkok,2023-08-08,89.5,45.07,48.72,25.12,5.08,109.77,29.26,71.42,16.7,Moderate
Bangkok,2023-08-09,48.84,98.63,63.94,10.51,1.23,144.69,5.86,58.53,9.13,Good
Bangkok,2023-08-10,12.66,180.22,42.57,32.7,8.95,95.34,17.36,52.27,0.6,Good
Bangkok,2023-08-11,38.02,94.86,22.23,47.71,7.37,154.66,6.01,96.14,5.72,Good
Bangkok,2023-08-12,111.6,160.22,23.32,22.97,6.58,64.35,30.34,51.72,7.79,Unhealthy
Bangkok,2023-08-13,104.02,139.26,24.14,25.28,7.86,113.86,27.15,51.24,11.24,Unhealthy
Bangkok,2023-08-14,96.44,118.3,24.96,27.6,9.13,163.38,23.96,50.75,14.68,Moderate
Bangkok,2023-08-15,71.93,108.7,28.29,24.29,6.78,161.36,24.17,60.35,10.68,Moderate
Bangkok,2023-08-16,47.43,99.11,31.61,20.98,4.44,159.34,24.38,69.94,6.68,Good
Bangkok,2023-08-17,74.89,67.63,57.0,24.15,5.14,172.06,19.76,72.34,12.85,Moderate
Bangkok,2023-08-18,102.34,36.16,82.39,27.33,5.85,184.77,15.14,74.73,19.02,Unhealthy
Bangkok,2023-08-19,83.09,77.19,25.67,25.45,0.31,32.43,7.68,26.24,9.67,Moderate
Bangkok,2023-08-20,17.32,174.08,21.2,31.46,9.59,129.39,16.07,90.98,7.97,Good
Bangkok,2023-08-21,127.87,29.6,17.96,35.61,4.81,46.94,-3.47,74.3,5.36,Unhealthy
Bangkok,2023-08-22,121.97,73.35,31.15,36.98,4.76,71.19,6.19,57.35,6.04,Unhealthy
Bangkok,2023-08-23,116.06,117.1,44.33,38.35,4.71,95.44,15.85,40.4,6.73,Unhealthy
Bangkok,2023-08-24,139.51,76.53,33.62,8.83,3.26,150.76,3.9,68.38,3.53,Unhealthy
Bangkok,2023-08-25,59.93,124.79,45.89,27.25,1.55,97.69,9.6,40.53,7.84,Good
Bangkok,2023-08-26,104.52,170.89,46.6,24.38,5.24,102.42,14.27,51.89,13.92,Unhealthy
Bangkok,2023-08-27,68.72,123.54,38.92,25.91,4.69,74.92,8.56,60.9,15.77,Moderate
Bangkok,2023-08-28,32.92,76.18,31.25,27.44,4.14,47.42,2.85,69.91,17.62,Good
Bangkok,2023-08-29,47.8,90.23,39.38,22.69,4.11,84.3,4.56,70.82,16.42,Good
Bangkok,2023-08-30,62.68,104.28,47.5,17.94,4.07,121.17,6.28,71.73,15.23,Good
Bangkok,2023-08-31,77.56,118.33,55.62,13.19,4.04,158.05,7.99,72.64,14.03,Moderate
Bangkok,2023-09-01,92.44,132.38,63.75,8.44,4.01,194.92,9.7,73.56,12.83,Moderate
Bangkok,2023-09-02,80.52,116.04,46.42,22.2,7.51,82.24,14.96,85.36,10.27,Moderate
Bangkok,2023-09-03,34.1,51.22,9.9,33.23,7.55,95.97,-5.44,88.39,18.41,Good
Bangkok,2023-09-04,31.92,36.58,42.86,33.72,8.24,120.38,-4.94,93.26,10.07,Good
Bangkok,2023-09-05,29.73,21.93,75.82,34.2,8.93,144.78,-4.43,98.13,1.73,Good
Bangkok,2023-09-06,62.39,126.14,67.84,24.39,5.6,101.14,10.51,30.65,13.06,Good
Bangkok,2023-09-07,96.64,144.71,59.9,31.28,6.27,92.08,1.81,30.79,12.83,Moderate
Bangkok,2023-09-08,130.88,163.27,51.95,38.17,6.94,83.03,-6.9,30.94,12.59,Unhealthy
Bangkok,2023-09-09,69.4,138.96,58.84,40.8,5.29,124.8,22.13,59.01,12.6,Moderate
Bangkok,2023-09-10,146.96,199.41,58.71,9.74,5.75,45.52,6.57,35.93,17.16,Unhealthy
Bangkok,2023-09-11,50.95,23.3,94.84,16.59,2.29,98.13,12.99,20.7,16.44,Good
Bangkok,2023-09-12,94.21,92.4,84.55,11.01,1.27,127.64,13.84,33.87,15.39,Moderate
Bangkok,2023-09-13,137.47,161.49,74.26,5.43,0.24,157.14,14.69,47.04,14.34,Unhealthy
Bangkok,2023-09-14,31.68,77.74,44.94,31.84,6.05,158.11,15.97,47.38,13.7,Good
